# Time[s], Head[m]
28800,1.23E-01
28860,1.28E-01
28920,1.34E-01
28980,1.39E-01
29040,1.45E-01
29100,1.51E-01
29160,1.56E-01
29220,1.62E-01
29280,1.67E-01
29340,1.74E-01
29400,1.79E-01
29460,1.85E-01
29520,1.91E-01
29580,1.96E-01
29640,2.02E-01
29700,2.08E-01
29760,2.14E-01
29820,2.20E-01
29880,2.26E-01
29940,2.32E-01
30000,2.38E-01
30060,2.44E-01
30120,2.50E-01
30180,2.55E-01
30240,2.58E-01
30300,2.61E-01
30360,2.61E-01
30420,2.61E-01
30480,2.61E-01
30540,2.61E-01
30600,2.61E-01
30660,2.61E-01
30720,2.61E-01
30780,2.61E-01
30840,2.61E-01
30900,2.61E-01
30960,2.61E-01
31020,2.61E-01
31080,2.61E-01
31140,2.61E-01
31200,2.62E-01
31260,2.62E-01
31320,2.62E-01
31380,2.62E-01
31440,2.62E-01
31500,2.62E-01
31560,2.59E-01
31620,2.55E-01
31680,2.52E-01
31740,2.50E-01
31800,2.48E-01
31860,2.46E-01
31920,2.44E-01
31980,2.42E-01
32040,2.40E-01
32100,2.37E-01
32160,2.36E-01
32220,2.34E-01
32280,2.32E-01
32340,2.30E-01
32400,2.27E-01
32460,2.26E-01
32520,2.24E-01
32580,2.22E-01
32640,2.20E-01
32700,2.17E-01
32760,2.16E-01
32820,2.14E-01
32880,2.12E-01
32940,2.10E-01
33000,2.08E-01
33060,2.06E-01
33120,2.04E-01
33180,2.02E-01
33240,2.01E-01
33300,1.99E-01
33360,1.97E-01
33420,1.95E-01
33480,1.93E-01
33540,1.91E-01
33600,1.89E-01
33660,1.87E-01
33720,1.85E-01
33780,1.83E-01
33840,1.82E-01
33900,1.80E-01
33960,1.78E-01
34020,1.76E-01
34080,1.75E-01
34140,1.73E-01
34200,1.71E-01
34260,1.69E-01
34320,1.67E-01
34380,1.66E-01
34440,1.64E-01
34500,1.62E-01
34560,1.60E-01
34620,1.59E-01
34680,1.57E-01
34740,1.55E-01
34800,1.54E-01
34860,1.52E-01
34920,1.50E-01
34980,1.49E-01
35040,1.47E-01
35100,1.45E-01
35160,1.43E-01
35220,1.42E-01
35280,1.40E-01
35340,1.38E-01
35400,1.37E-01
35460,1.35E-01
35520,1.34E-01
35580,1.32E-01
35640,1.30E-01
35700,1.28E-01
35760,1.26E-01
35820,1.24E-01
35880,1.23E-01
35940,1.21E-01
36000,1.19E-01
36060,1.18E-01
36120,1.16E-01
36180,1.14E-01
36240,1.13E-01
36300,1.12E-01
36360,1.10E-01
36420,1.08E-01
36480,1.06E-01
36540,1.05E-01
36600,1.03E-01
36660,1.01E-01
36720,9.93E-02
36780,9.73E-02
36840,9.59E-02
36900,9.32E-02
36960,9.14E-02
37020,8.85E-02
37080,8.62E-02
37140,8.34E-02
37200,7.89E-02
37260,3.36E-02
37320,1.62E-02
37380,5.00E-03
37440,5.00E-03
37500,5.00E-03
37560,5.00E-03
37620,5.00E-03
37680,5.00E-03
37740,5.00E-03
37800,5.00E-03
37860,5.00E-03
37920,5.00E-03
37980,5.00E-03
38040,5.00E-03
38100,5.20E-03
38160,5.70E-03
38220,5.70E-03
38280,5.30E-03
38340,5.50E-03
38400,5.60E-03
38460,5.70E-03
38520,5.50E-03
38580,5.70E-03
38640,5.60E-03
38700,5.60E-03
38760,5.60E-03
38820,5.50E-03
38880,5.30E-03
38940,5.50E-03
39000,5.60E-03
39060,5.60E-03
39120,5.60E-03
39180,5.90E-03
39240,5.70E-03
39300,5.60E-03
39360,5.60E-03
39420,5.20E-03
39480,5.50E-03
39540,5.20E-03
39600,5.50E-03
39660,5.50E-03
39720,5.50E-03
39780,5.60E-03
39840,5.30E-03
39900,5.50E-03
39960,5.70E-03
40020,5.50E-03
40080,5.60E-03
40140,5.90E-03
40200,5.60E-03
40260,5.90E-03
40320,5.50E-03
40380,5.30E-03
40440,5.20E-03
40500,5.60E-03
40560,5.10E-03
40620,3.59E-02
40680,6.90E-02
40740,7.80E-02
40800,7.90E-02
40860,7.89E-02
40920,8.06E-02
40980,8.29E-02
41040,8.66E-02
41100,9.01E-02
41160,9.48E-02
41220,9.97E-02
41280,1.05E-01
41340,1.15E-01
41400,1.23E-01
41460,1.30E-01
41520,1.38E-01
41580,1.44E-01
41640,1.49E-01
41700,1.55E-01
41760,1.61E-01
41820,1.66E-01
41880,1.71E-01
41940,1.77E-01
42000,1.83E-01
42060,1.88E-01
42120,1.94E-01
42180,1.99E-01
42240,2.05E-01
42300,2.11E-01
42360,2.17E-01
42420,2.22E-01
42480,2.28E-01
42540,2.34E-01
42600,2.39E-01
42660,2.45E-01
42720,2.51E-01
42780,2.57E-01
42840,2.61E-01
42900,2.64E-01
42960,2.64E-01
43020,2.64E-01
43080,2.63E-01
43140,2.63E-01
43200,2.63E-01
43260,2.64E-01
43320,2.64E-01
43380,2.64E-01
43440,2.65E-01
43500,2.65E-01
43560,2.65E-01
43620,2.64E-01
43680,2.64E-01
43740,2.64E-01
43800,2.64E-01
43860,2.65E-01
43920,2.65E-01
43980,2.65E-01
44040,2.64E-01
44100,2.65E-01
44160,2.61E-01
44220,2.58E-01
44280,2.55E-01
44340,2.53E-01
44400,2.51E-01
44460,2.49E-01
44520,2.47E-01
44580,2.45E-01
44640,2.43E-01
44700,2.41E-01
44760,2.39E-01
44820,2.37E-01
44880,2.35E-01
44940,2.33E-01
45000,2.31E-01
45060,2.29E-01
45120,2.27E-01
45180,2.25E-01
45240,2.23E-01
45300,2.21E-01
45360,2.19E-01
45420,2.17E-01
45480,2.15E-01
45540,2.13E-01
45600,2.11E-01
45660,2.09E-01
45720,2.07E-01
45780,2.05E-01
45840,2.03E-01
45900,2.01E-01
45960,1.99E-01
46020,1.97E-01
46080,1.96E-01
