R,C1,C2,C3,C4,C5,C6,C7,C8
R101,-600,-200,-600,-200,-7.545,-200,5.932,-200
R102,-600,-202,-600,-202,-8.014,-202,5.741,-202
R103,-600,-204,-600,-204,-8.495,-204,5.55,-204
R104,-600,-206,-600,-206,-8.99,-206,5.36,-206
R105,-600,-208,-600,-208,-9.499,-208,5.169,-208
R106,-600,-210,-600,-210,-10.023,-210,4.978,-210
R107,-600,-212,-600,-212,-10.563,-212,4.788,-212
R108,-600,-214,-600,-214,-11.119,-214,4.597,-214
R109,-600,-216,-600,-216,-11.694,-216,4.406,-216
R110,-600,-218,-600,-218,-12.287,-218,4.215,-218
R111,-600,-220,-600,-220,-12.899,-220,4.025,-220
R112,-600,-222,-600,-222,-13.533,-222,3.834,-222
R113,-600,-224,-600,-224,-14.189,-224,3.643,-224
R114,-600,-226,-600,-226,-14.868,-226,3.453,-226
R115,-600,-228,-600,-228,-15.572,-228,3.262,-228
R116,-600,-230,-600,-230,-16.303,-230,3.071,-230
R117,-600,-232,-600,-232,-17.061,-232,2.881,-232
R118,-600,-234,-600,-234,-17.85,-234,2.69,-234
R119,-600,-236,-600,-236,-18.671,-236,2.499,-236
R120,-600,-238,-600,-238,-19.525,-238,2.309,-238
R121,-600,-240,-600,-240,-20.417,-240,2.118,-240
R122,-600,-242,-600,-242,-21.347,-242,1.927,-242
R123,-600,-244,-600,-244,-22.321,-244,1.737,-244
R124,-600,-246,-600,-246,-23.339,-246,1.546,-246
R125,-600,-248,-600,-248,-24.408,-248,1.355,-248
R126,-600,-250,-600,-250,-25.529,-250,1.165,-250
R127,-600,-252,-600,-252,-26.708,-252,0.974,-252
R128,-600,-254,-600,-254,-27.949,-254,0.783,-254
R129,-600,-256,-600,-256,-29.261,-256,0.592,-256
R130,-600,-258,-600,-258,-30.648,-258,0.402,-258
R131,-600,-260,-600,-260,-32.117,-260,0.211,-260
R132,-600,-262,-600,-262,-33.675,-262,0.02,-262
R133,-600,-264,-600,-264,-35.335,-264,-0.171,-264
R134,-600,-266,-600,-266,-37.111,-266,-0.363,-266
R135,-600,-268,-600,-268,-39.016,-268,-0.558,-268
R136,-600,-270,-600,-270,-41.058,-270,-0.754,-270
R137,-600,-272,-600,-272,-43.259,-272,-0.953,-272
R138,-600,-274,-600,-274,-45.648,-274,-1.154,-274
R139,-600,-276,-600,-276,-48.261,-276,-1.358,-276
R140,-600,-278,-600,-278,-51.113,-278,-1.564,-278
R141,-600,-280,-600,-280,-54.242,-280,-1.774,-280
R142,-600,-282,-600,-282,-57.728,-282,-1.987,-282
R143,-600,-284,-600,-284,-61.656,-284,-2.204,-284
R144,-600,-286,-600,-286,-66.077,-286,-2.424,-286
R145,-600,-288,-600,-288,-71.124,-288,-2.648,-288
R146,-600,-290,-600,-290,-77.066,-290,-2.875,-290
R147,-600,-292,-600,-292,-84.1,-292,-3.107,-292
R148,-600,-294,-600,-294,-92.67,-294,-3.343,-294
R149,-600,-296,-600,-296,-103.537,-296,-3.584,-296
R150,-600,-298,-600,-298,-118.067,-298,-3.829,-298
R151,-600,-300,-600,-300,-139.227,-300,-4.079,-300
R152,-600,-302,-600,-302,-172.418,-302,-4.334,-302
R153,-600,-304,-600,-304,-234.822,-304,-4.594,-304
R154,-600,-306,-600,-306,-374.144,-306,-4.86,-306
R155,-600,-308,-600,-308,-568.283,-308,-5.131,-308
R156,-600,-310,-600,-310,-599.144,-310,-5.409,-310
R157,-600,-312,-600,-312,-599.981,-312,-5.693,-312
R158,-600,-314,-600,-314,-600,-314,-5.983,-314
R159,-600,-316,-600,-316,-600,-316,-6.28,-316
R160,-600,-318,-600,-318,-600,-318,-6.584,-318
R161,-600,-320,-600,-320,-600,-320,-6.895,-320
R162,-600,-322,-600,-322,-600,-322,-7.214,-322
R163,-600,-324,-600,-324,-600,-324,-7.54,-324
R164,-600,-326,-600,-326,-600,-326,-7.875,-326
R165,-600,-328,-600,-328,-600,-328,-8.219,-328
R166,-600,-330,-600,-330,-600,-330,-8.572,-330
R167,-600,-332,-600,-332,-600,-332,-8.934,-332
R168,-600,-334,-600,-334,-600,-334,-9.306,-334
R169,-600,-336,-600,-336,-600,-336,-9.688,-336
R170,-600,-338,-600,-338,-600,-338,-10.082,-338
R171,-600,-340,-600,-340,-600,-340,-10.486,-340
R172,-600,-342,-600,-342,-600,-342,-10.902,-342
R173,-600,-344,-600,-344,-600,-344,-11.331,-344
R174,-600,-346,-600,-346,-600,-346,-11.772,-346
R175,-600,-348,-600,-348,-600,-348,-12.227,-348
R176,-600,-350,-600,-350,-600,-350,-12.696,-350
R177,-600,-352,-600,-352,-600,-352,-13.18,-352
R178,-600,-354,-600,-354,-600,-354,-13.68,-354
R179,-600,-356,-600,-356,-600,-356,-14.196,-356
R180,-600,-358,-600,-358,-600,-358,-14.73,-358
R181,-600,-360,-600,-360,-600,-360,-15.282,-360
R182,-600,-362,-600,-362,-600,-362,-15.854,-362
R183,-600,-364,-600,-364,-600,-364,-16.446,-364
R184,-600,-366,-600,-366,-600,-366,-17.06,-366
R185,-600,-368,-600,-368,-600,-368,-17.696,-368
R186,-600,-370,-600,-370,-600,-370,-18.357,-370
R187,-600,-372,-600,-372,-600,-372,-19.044,-372
R188,-600,-374,-600,-374,-600,-374,-19.758,-374
R189,-600,-376,-600,-376,-600,-376,-20.5,-376
R190,-600,-378,-600,-378,-600,-378,-21.274,-378
R191,-600,-380,-600,-380,-600,-380,-22.081,-380
R192,-600,-382,-600,-382,-600,-382,-22.924,-382
R193,-600,-384,-600,-384,-600,-384,-23.805,-384
R194,-600,-386,-600,-386,-600,-386,-24.726,-386
R195,-600,-388,-600,-388,-600,-388,-25.69,-388
R196,-600,-390,-600,-390,-600,-390,-26.701,-390
R197,-600,-392,-600,-392,-600,-392,-27.763,-392
R198,-600,-394,-600,-394,-600,-394,-28.88,-394
R199,-600,-396,-600,-396,-600,-396,-30.059,-396
R200,-600,-398,-600,-398,-600,-398,-31.302,-398
R201,-600,-400,-600,-400,-600,-400,-32.613,-400
R202,-600,-402,-600,-402,-600,-402,-34.002,-402
R203,-600,-404,-600,-404,-600,-404,-35.478,-404
R204,-600,-406,-600,-406,-600,-406,-37.051,-406
R205,-600,-408,-600,-408,-600,-408,-38.732,-408
R206,-600,-410,-600,-410,-600,-410,-40.526,-410
R207,-600,-412,-600,-412,-600,-412,-42.448,-412
R208,-600,-414,-600,-414,-600,-414,-44.519,-414
R209,-600,-416,-600,-416,-600,-416,-46.767,-416
R210,-600,-418,-600,-418,-600,-418,-49.215,-418
R211,-600,-420,-600,-420,-600,-420,-51.874,-420
R212,-600,-422,-600,-422,-600,-422,-54.785,-422
R213,-600,-424,-600,-424,-600,-424,-58.015,-424
R214,-600,-426,-600,-426,-600,-426,-61.636,-426
R215,-600,-428,-600,-428,-600,-428,-65.68,-428
R216,-600,-430,-600,-430,-600,-430,-70.25,-430
R217,-600,-432,-600,-432,-600,-432,-75.594,-432
R218,-600,-434,-600,-434,-600,-434,-81.861,-434
R219,-600,-436,-600,-436,-600,-436,-89.251,-436
R220,-600,-438,-600,-438,-600,-438,-98.433,-438
R221,-600,-440,-600,-440,-600,-440,-110.155,-440
R222,-600,-442,-600,-442,-600,-442,-125.721,-442
R223,-600,-444,-600,-444,-600,-444,-148.961,-444
R224,-600,-446,-600,-446,-600,-446,-187.93,-446
R225,-600,-448,-600,-448,-600,-448,-264.999,-448
R226,-600,-450,-600,-450,-600,-450,-433.704,-450
R227,-600,-452,-600,-452,-600,-452,-586.626,-452
R228,-600,-454,-600,-454,-600,-454,-599.188,-454
R229,-600,-456,-600,-456,-600,-456,-597.359,-456
R230,-600,-458,-600,-458,-600,-458,-586.732,-458
R231,-600,-460,-600,-460,-600,-460,-549.414,-460
R232,-600,-462,-600,-462,-600,-462,-477.971,-462
R233,-600,-464,-600,-464,-600,-464,-405.532,-464
R234,-600,-466,-600,-466,-600,-466,-352.682,-466
R235,-600,-468,-600,-468,-600,-468,-310.095,-468
R236,-600,-470,-600,-470,-600,-470,-280.383,-470
R237,-600,-472,-600,-472,-600,-472,-257.191,-472
R238,-600,-474,-600,-474,-599.994,-474,-237.932,-474
R239,-600,-476,-600,-476,-599.944,-476,-222.452,-476
R240,-600,-478,-600,-478,-599.504,-478,-209.722,-478
R241,-600,-480,-600,-480,-595.823,-480,-198.393,-480
R242,-600,-482,-600,-482,-571.238,-482,-188.323,-482
R243,-600,-484,-600,-484,-485.138,-484,-179.62,-484
R244,-600,-486,-600,-486,-389.014,-486,-171.998,-486
R245,-600,-488,-600,-488,-323.25,-488,-165.038,-488
R246,-600,-490,-600,-490,-279.646,-490,-158.539,-490
R247,-600,-492,-600,-492,-246.686,-492,-152.387,-492
R248,-600,-494,-600,-494,-223.506,-494,-146.74,-494
R249,-600,-496,-600,-496,-205.568,-496,-141.603,-496
R250,-600,-498,-600,-498,-190.395,-498,-136.818,-498
R251,-600,-500,-600,-500,-178.019,-500,-132.291,-500
R252,-600,-502,-600,-502,-167.801,-502,-127.962,-502
R253,-600,-504,-600,-504,-158.699,-504,-123.793,-504
R254,-600,-506,-600,-506,-150.437,-506,-119.772,-506
R255,-600,-508,-600,-508,-143.138,-508,-115.941,-508
R256,-600,-510,-599.994,-510,-136.678,-510,-112.305,-510
R257,-600,-512,-599.879,-512,-130.747,-512,-108.817,-512
R258,-600,-514,-597.81,-514,-125.188,-514,-105.446,-514
R259,-600,-516,-568.122,-516,-119.93,-516,-102.172,-516
R260,-600,-518,-436.818,-518,-115.041,-518,-98.977,-518
R261,-600,-520,-314.481,-520,-110.516,-520,-95.852,-520
