R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R120	0.0006369	-238	0.0006369	-238	0.0003901	-238	3.48e-006	-238	0	-238	0	-238	0	-238
R121	0.0006369	-240	0.0006369	-240	0.0004115	-240	5.472e-006	-240	0	-240	0	-240	0	-240
R122	0.0006369	-242	0.0006369	-242	0.0004339	-242	7.661e-006	-242	0	-242	0	-242	0	-242
R123	0.0006369	-244	0.0006369	-244	0.0004573	-244	1.004e-005	-244	0	-244	0	-244	0	-244
R124	0.0006369	-246	0.0006369	-246	0.0004819	-246	1.261e-005	-246	0	-246	0	-246	0	-246
R125	0.0006369	-248	0.0006369	-248	0.0005075	-248	1.534e-005	-248	0	-248	0	-248	0	-248
R126	0.0006369	-250	0.0006369	-250	0.0005344	-250	1.82e-005	-250	0	-250	0	-250	0	-250
R127	0.0006369	-252	0.0006369	-252	0.0005626	-252	2.127e-005	-252	0	-252	0	-252	0	-252
R128	0.0006369	-254	0.0006369	-254	0.0005918	-254	2.445e-005	-254	0	-254	0	-254	0	-254
R129	0.0006369	-256	0.0006369	-256	0.0006219	-256	2.783e-005	-256	0	-256	0	-256	0	-256
R130	0.0006369	-258	0.0006369	-258	0.0006537	-258	3.13e-005	-258	0	-258	0	-258	0	-258
R131	0.0006369	-260	0.0006369	-260	0.0006873	-260	3.503e-005	-260	0	-260	0	-260	0	-260
R132	0.0006369	-262	0.0006369	-262	0.000723	-262	3.882e-005	-262	0	-262	0	-262	0	-262
R133	0.0006369	-264	0.0006369	-264	0.0007574	-264	4.283e-005	-264	0	-264	0	-264	0	-264
R134	0.0006369	-266	0.0006369	-266	0.0007938	-266	4.703e-005	-266	0	-266	0	-266	0	-266
R135	0.0006369	-268	0.0006369	-268	0.0008325	-268	5.131e-005	-268	0	-268	0	-268	0	-268
R136	0.0006369	-270	0.0006369	-270	0.0008739	-270	5.583e-005	-270	0	-270	0	-270	0	-270
R137	0.0006369	-272	0.0006369	-272	0.0009137	-272	6.058e-005	-272	0	-272	0	-272	0	-272
R138	0.0006369	-274	0.0006369	-274	0.0009526	-274	6.542e-005	-274	0	-274	0	-274	0	-274
R139	0.0006369	-276	0.0006369	-276	0.0009945	-276	7.041e-005	-276	0	-276	0	-276	0	-276
R140	0.0006369	-278	0.0006369	-278	0.00104	-278	7.578e-005	-278	0	-278	0	-278	0	-278
R141	0.0006369	-280	0.0006369	-280	0.00108	-280	8.128e-005	-280	0	-280	0	-280	0	-280
