"BAP","DOC","EPS","NH4","NO3","O2","POCr","U:0","U:1","U:2","XAR","XDN","XI","XN","h","n","perm","rDN","rH","rN","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0021417,0.001037,0.00027999,4.4798e-05,0.0021056,0.0077289,0.00025173,1.0401e-09,-6.6422e-08,2.2562e-26,4.3545e-05,0.00017592,4.231e-05,2.2535e-05,7.3941e-07,0.35777,1.0173e-11,4.1131e-06,5.8381e-06,5.0003e-06,15,1,0.16,0.002,-0.04,0.145
0.0022055,0.0010313,0.00032709,4.7512e-05,0.0021282,0.0077966,0.00024901,1.7354e-09,-7.5164e-08,-1.5307e-25,5.6334e-05,0.00017164,5.0883e-05,2.6524e-05,2.5078e-06,0.35775,1.017e-11,4.0766e-06,5.8721e-06,5.279e-06,14,1,0.1625,0.002,-0.0375,0.145
0.0022634,0.0010234,0.00038658,5.0486e-05,0.002147,0.0078556,0.00024623,2.6431e-09,-8.5136e-08,-6.0166e-26,7.2068e-05,0.00016785,6.1587e-05,3.1609e-05,4.5084e-06,0.35771,1.0166e-11,4.039e-06,5.8936e-06,5.5808e-06,13,1,0.165,0.002,-0.035,0.145
0.0023149,0.0010142,0.00046263,5.3781e-05,0.0021621,0.0079066,0.00024337,3.8158e-09,-9.6514e-08,9.6361e-26,9.1822e-05,0.00016466,7.5135e-05,3.8134e-05,6.7743e-06,0.35767,1.0161e-11,4.0014e-06,5.9064e-06,5.9106e-06,12,1,0.1675,0.002,-0.0325,0.145
0.0023591,0.0010044,0.00056175,5.7472e-05,0.0021736,0.0079504,0.00024039,5.3167e-09,-1.095e-07,-7.5719e-26,0.0001174,0.00016215,9.264e-05,4.6564e-05,9.3437e-06,0.35761,1.0154e-11,3.9648e-06,5.9146e-06,6.2748e-06,11,1,0.17,0.002,-0.03,0.145
0.0023958,0.00099489,0.00069416,6.1663e-05,0.0021817,0.0079883,0.00023727,7.2204e-09,-1.2432e-07,-2.8896e-25,0.00015186,0.00016041,0.00011585,5.7541e-05,1.226e-05,0.35753,1.0144e-11,3.93e-06,5.9231e-06,6.6817e-06,10,1,0.1725,0.002,-0.0275,0.145
0.0024246,0.00098654,0.00087632,6.6493e-05,0.0021865,0.0080217,0.00023394,9.6137e-09,-1.4121e-07,-9.0799e-26,0.00020041,0.0001595,0.00014761,7.1968e-05,1.5575e-05,0.35742,1.0131e-11,3.8982e-06,5.9369e-06,7.1419e-06,9,1,0.175,0.002,-0.025,0.145
0.0024451,0.00098033,0.0011359,7.2153e-05,0.0021883,0.0080523,0.00023036,1.2595e-08,-1.6045e-07,6.4446e-26,0.00027233,0.00015952,0.00019267,9.1128e-05,1.9345e-05,0.35726,1.0112e-11,3.8703e-06,5.9618e-06,7.6695e-06,8,1,0.1775,0.002,-0.0225,0.145
0.0024569,0.0009774,0.0015221,7.8904e-05,0.0021871,0.0080821,0.00022643,1.6271e-08,-1.8232e-07,5.3408e-26,0.0003852,0.00016058,0.00025949,0.00011687,2.3638e-05,0.35702,1.0085e-11,3.8472e-06,6.0039e-06,8.2827e-06,7,1,0.18,0.002,-0.02,0.145
0.0024595,0.00097922,0.0021286,8.7121e-05,0.0021829,0.0081133,0.00022201,2.0754e-08,-2.0714e-07,-4.6337e-26,0.00057482,0.00016282,0.0003642,0.00015188,2.8531e-05,0.35665,1.0041e-11,3.8301e-06,6.0711e-06,9.0049e-06,6,1,0.1825,0.002,-0.0175,0.145
0.0024511,0.00098797,0.0031514,9.7331e-05,0.0021755,0.0081478,0.00021689,2.6162e-08,-2.3527e-07,1.532e-25,0.00092177,0.00016647,0.00054052,0.00019999,3.4121e-05,0.35601,9.9659e-12,3.82e-06,6.1734e-06,9.8644e-06,5,1,0.185,0.002,-0.015,0.145
