R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R115	1.668e-006	-228	1.668e-006	-228	1.67e-006	-228	0.1379	-228	0.1664	-228	0.17	-228	0.17	-228
R116	1.668e-006	-230	1.668e-006	-230	1.668e-006	-230	0.136	-230	0.1659	-230	0.17	-230	0.17	-230
R117	1.668e-006	-232	1.668e-006	-232	1.668e-006	-232	0.1341	-232	0.1655	-232	0.17	-232	0.17	-232
R118	1.668e-006	-234	1.668e-006	-234	1.668e-006	-234	0.132	-234	0.165	-234	0.17	-234	0.17	-234
R119	1.668e-006	-236	1.668e-006	-236	1.668e-006	-236	0.1299	-236	0.1645	-236	0.17	-236	0.17	-236
R120	1.668e-006	-238	1.668e-006	-238	1.668e-006	-238	0.1277	-238	0.164	-238	0.17	-238	0.17	-238
R121	1.668e-006	-240	1.668e-006	-240	1.668e-006	-240	0.1253	-240	0.1635	-240	0.17	-240	0.17	-240
R122	1.668e-006	-242	1.668e-006	-242	1.668e-006	-242	0.1229	-242	0.163	-242	0.17	-242	0.17	-242
R123	1.668e-006	-244	1.668e-006	-244	1.668e-006	-244	0.1203	-244	0.1624	-244	0.17	-244	0.17	-244
R124	1.668e-006	-246	1.668e-006	-246	1.668e-006	-246	0.1176	-246	0.1618	-246	0.17	-246	0.17	-246
R125	1.668e-006	-248	1.668e-006	-248	1.668e-006	-248	0.1147	-248	0.1612	-248	0.17	-248	0.17	-248
R126	1.668e-006	-250	1.668e-006	-250	1.668e-006	-250	0.1117	-250	0.1605	-250	0.17	-250	0.17	-250
R127	1.668e-006	-252	1.668e-006	-252	1.668e-006	-252	0.1085	-252	0.1599	-252	0.17	-252	0.17	-252
R128	1.668e-006	-254	1.668e-006	-254	1.668e-006	-254	0.1052	-254	0.1592	-254	0.17	-254	0.17	-254
R129	1.668e-006	-256	1.668e-006	-256	1.668e-006	-256	0.1016	-256	0.1585	-256	0.1698	-256	0.17	-256
R130	1.668e-006	-258	1.668e-006	-258	1.668e-006	-258	0.098	-258	0.1577	-258	0.1697	-258	0.17	-258
R131	1.668e-006	-260	1.668e-006	-260	1.668e-006	-260	0.09414	-260	0.1569	-260	0.1695	-260	0.17	-260
R132	1.668e-006	-262	1.668e-006	-262	1.668e-006	-262	0.08999	-262	0.1561	-262	0.1693	-262	0.17	-262
R133	1.668e-006	-264	1.668e-006	-264	1.668e-006	-264	0.0855	-264	0.1553	-264	0.1691	-264	0.17	-264
R134	1.668e-006	-266	1.668e-006	-266	1.668e-006	-266	0.08114	-266	0.1544	-266	0.1689	-266	0.17	-266
R135	1.668e-006	-268	1.668e-006	-268	1.668e-006	-268	0.07643	-268	0.1534	-268	0.1686	-268	0.17	-268
R136	1.668e-006	-270	1.668e-006	-270	1.668e-006	-270	0.07126	-270	0.1525	-270	0.1684	-270	0.17	-270
R137	1.668e-006	-272	1.668e-006	-272	1.668e-006	-272	0.06583	-272	0.1515	-272	0.1681	-272	0.17	-272
