R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R110	-800	-218	-800	-218	-142.378	-218	-14.585	-218	-1.935	-218	3.44	-218	7.044	-218
R111	-800	-220	-800	-220	-183.925	-220	-15.293	-220	-2.208	-220	3.242	-220	6.879	-220
R112	-800	-222	-800	-222	-276.526	-222	-16.027	-222	-2.485	-222	3.045	-222	6.714	-222
R113	-800	-224	-800	-224	-527.593	-224	-16.789	-224	-2.766	-224	2.847	-224	6.549	-224
R114	-800	-226	-800	-226	-789.427	-226	-17.581	-226	-3.054	-226	2.649	-226	6.385	-226
R115	-800	-228	-800	-228	-799.915	-228	-18.406	-228	-3.346	-228	2.451	-228	6.22	-228
R116	-800	-230	-800	-230	-799.999	-230	-19.265	-230	-3.644	-230	2.253	-230	6.055	-230
R117	-800	-232	-800	-232	-800	-232	-20.161	-232	-3.948	-232	2.056	-232	5.891	-232
R118	-800	-234	-800	-234	-800	-234	-21.096	-234	-4.259	-234	1.858	-234	5.726	-234
R119	-800	-236	-800	-236	-800	-236	-22.074	-236	-4.576	-236	1.66	-236	5.561	-236
R120	-800	-238	-800	-238	-800	-238	-23.099	-238	-4.899	-238	1.462	-238	5.396	-238
R121	-800	-240	-800	-240	-800	-240	-24.172	-240	-5.23	-240	1.264	-240	5.232	-240
R122	-800	-242	-800	-242	-800	-242	-25.299	-242	-5.569	-242	1.067	-242	5.067	-242
R123	-800	-244	-800	-244	-800	-244	-26.484	-244	-5.915	-244	0.869	-244	4.902	-244
R124	-800	-246	-800	-246	-800	-246	-27.734	-246	-6.269	-246	0.671	-246	4.737	-246
R125	-800	-248	-800	-248	-800	-248	-29.054	-248	-6.633	-248	0.473	-248	4.573	-248
R126	-800	-250	-800	-250	-800	-250	-30.449	-250	-7.005	-250	0.275	-250	4.408	-250
R127	-800	-252	-800	-252	-800	-252	-31.927	-252	-7.386	-252	0.078	-252	4.243	-252
R128	-800	-254	-800	-254	-800	-254	-33.499	-254	-7.778	-254	-0.12	-254	4.078	-254
R129	-800	-256	-800	-256	-800	-256	-35.177	-256	-8.179	-256	-0.32	-256	3.914	-256
R130	-800	-258	-800	-258	-800	-258	-36.967	-258	-8.592	-258	-0.521	-258	3.749	-258
R131	-800	-260	-800	-260	-800	-260	-38.883	-260	-9.016	-260	-0.724	-260	3.584	-260
R132	-800	-262	-800	-262	-800	-262	-40.946	-262	-9.452	-262	-0.929	-262	3.419	-262
R133	-800	-264	-800	-264	-800	-264	-43.18	-264	-9.9	-264	-1.137	-264	3.255	-264
R134	-800	-266	-800	-266	-800	-266	-45.604	-266	-10.361	-266	-1.348	-266	3.09	-266
R135	-800	-268	-800	-268	-800	-268	-48.238	-268	-10.836	-268	-1.562	-268	2.925	-268
R136	-800	-270	-800	-270	-800	-270	-51.131	-270	-11.326	-270	-1.779	-270	2.761	-270
R137	-800	-272	-800	-272	-800	-272	-54.34	-272	-11.831	-272	-2	-272	2.596	-272
R138	-800	-274	-800	-274	-800	-274	-57.903	-274	-12.352	-274	-2.223	-274	2.431	-274
R139	-800	-276	-800	-276	-800	-276	-61.896	-276	-12.89	-276	-2.451	-276	2.266	-276
R140	-800	-278	-800	-278	-800	-278	-66.47	-278	-13.445	-278	-2.683	-278	2.102	-278
R141	-800	-280	-800	-280	-800	-280	-71.733	-280	-14.02	-280	-2.918	-280	1.937	-280
R142	-800	-282	-800	-282	-800	-282	-77.886	-282	-14.614	-282	-3.158	-282	1.772	-282
R143	-800	-284	-800	-284	-800	-284	-85.301	-284	-15.229	-284	-3.402	-284	1.607	-284
R144	-800	-286	-800	-286	-800	-286	-94.435	-286	-15.866	-286	-3.651	-286	1.443	-286
R145	-800	-288	-800	-288	-800	-288	-106.125	-288	-16.527	-288	-3.905	-288	1.278	-288
R146	-800	-290	-800	-290	-800	-290	-122.258	-290	-17.213	-290	-4.164	-290	1.113	-290
R147	-800	-292	-800	-292	-800	-292	-146.934	-292	-17.925	-292	-4.428	-292	0.948	-292
R148	-800	-294	-800	-294	-800	-294	-189.289	-294	-18.665	-294	-4.698	-294	0.784	-294
R149	-800	-296	-800	-296	-800	-296	-283.641	-296	-19.435	-296	-4.974	-296	0.619	-296
R150	-800	-298	-800	-298	-800	-298	-542.924	-298	-20.238	-298	-5.255	-298	0.454	-298
R151	-800	-300	-800	-300	-800	-300	-790.79	-300	-21.074	-300	-5.543	-300	0.289	-300
R152	-800	-302	-800	-302	-800	-302	-799.919	-302	-21.948	-302	-5.837	-302	0.125	-302
R153	-800	-304	-800	-304	-800	-304	-799.999	-304	-22.861	-304	-6.138	-304	-0.04	-304
R154	-800	-306	-800	-306	-800	-306	-800	-306	-23.816	-306	-6.447	-306	-0.205	-306
